resort_id,resort_name_canonical,cluster_id,point_municipality_bfs_id,documented_membership_events,current_official_destination_candidates,identity_scope_score,lift_assignment_score,geolocation_score,tourism_exposure_score,hotel_outcome_score,membership_history_score,infrastructure_feature_score,snow_climate_score,data_quality_score,causal_ready,data_quality_warnings
zermatt,Zermatt,SKI_CLUSTER_005,6300,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
jakobsbad_kronberg,Jakobsbad - Kronberg,SKI_CLUSTER_083,3102,0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,45.8,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
muottas_muragl,Muottas Muragl,SKI_CLUSTER_022,3786,0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,45.8,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
oberholz_farner,Oberholz - Farner,SKI_CLUSTER_066,3342,0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,45.8,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
anzere,Anzère,SKI_CLUSTER_020,6082,1,1,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,43.8,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|no_hotel_outcome_at_point_municipality
balmberg,Balmberg,SKI_CLUSTER_108,2541,1,1,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,43.8,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|no_hotel_outcome_at_point_municipality
belalp,Belalp,SKI_CLUSTER_009,6007,1,1,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,43.8,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|no_hotel_outcome_at_point_municipality
charmey,Charmey,SKI_CLUSTER_091,2163,1,1,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,43.8,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|no_hotel_outcome_at_point_municipality
eischoll_sportbahnen_eischoll,Eischoll Sportbahnen Eischoll,SKI_CLUSTER_012,6194,1,1,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,43.8,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|no_hotel_outcome_at_point_municipality
gampel_jeizinen_jeizinen_feselalpe_gampel,Gampel - Jeizinen Jeizinen - Feselalpe / Gampel,SKI_CLUSTER_072,6118,0,1,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,43.8,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|no_hotel_outcome_at_point_municipality
