event_id,source_id,source_resort_name,event_type,entry_season,candidate_resort_id,resort_name_canonical,cluster_id,entity_resolution_method,entity_resolution_status,entity_resolution_confidence,point_municipality_bfs_id,point_municipality_name,bfs_hotel_municipality_name,bfs_hotel_universe,treatment_ready,treatment_blocker
MAGIC_EVENT_ad178341e96f,MAGIC_2023,Unterbäch,base_pass_entry,2023/2024,unterbach_brandalp,Unterbäch - Brandalp,SKI_CLUSTER_012,reviewed_alias,candidate_match_scope_pending,medium,6201,Unterbäch,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_53e9316306cb,MAGIC_2023,Visperterminen,base_pass_entry,2023/2024,visperterminen,Visperterminen,SKI_CLUSTER_012,unique_normalised_label,candidate_match_scope_pending,medium,6298,Visperterminen,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_aae55d26cbdc,MAGIC_2024,Devero,base_pass_entry,2024/2025,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_f233338ba25c,MAGIC_2024,Habère-Poche,base_pass_entry,2024/2025,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_78af46d829fc,MAGIC_2024,Hirmentaz,base_pass_entry,2024/2025,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_9232960a87c2,MAGIC_2024,Homberg,base_pass_entry,2024/2025,homberg_skilift_dreiligass_winteregg,Homberg Skilift Dreiligass - Winteregg,SKI_CLUSTER_136,reviewed_alias,candidate_match_scope_pending,medium,931,Homberg,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_2f693409a93f,MAGIC_2024,Jura sur Léman,base_pass_entry,2024/2025,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_c5d4515152cb,MAGIC_2024,Monts Jura,base_pass_entry,2024/2025,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_3f218ad4c15e,MAGIC_2024,Saint-Cergue,base_pass_entry,2024/2025,st_cergue,St. Cergue,SKI_CLUSTER_100,reviewed_alias,candidate_match_scope_pending,medium,5727,Saint-Cergue,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_f8b49f233b5b,MAGIC_2024,San Domenico,base_pass_entry,2024/2025,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_8a005fd903b6,MAGIC_2024,Schwanden,base_pass_entry,2024/2025,schwanden_sigriswil_thunersee,Schwanden - Sigriswil Thunersee,SKI_CLUSTER_046,reviewed_alias,candidate_match_scope_pending,medium,938,Sigriswil,Sigriswil,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_97b0b34c5c8d,MAGIC_2024,Thollon-les-Mémises,base_pass_entry,2024/2025,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_e664bf3f38d5,MAGIC_2024,Wilerallmi,base_pass_entry,2024/2025,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_e1ab5014079e,MAGIC_2025,Balmberg,base_pass_entry,2025/2026,balmberg,Balmberg,SKI_CLUSTER_108,unique_normalised_label,candidate_match_scope_pending,medium,2541,Balm bei Günsberg,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_08a3120f2089,MAGIC_2025,Belalp,base_pass_entry,2025/2026,belalp,Belalp,SKI_CLUSTER_009,unique_normalised_label,candidate_match_scope_pending,medium,6007,Naters,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_12fad7da9a31,MAGIC_2025,Bergbahnen Gstaad,base_pass_entry,2025/2026,gstaad,Gstaad,SKI_CLUSTER_016,reviewed_alias,candidate_match_scope_pending,medium,843,Saanen,Saanen,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_c1f58b57f3fa,MAGIC_2025,Grenchenberg,base_pass_entry,2025/2026,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_87ef82e3450f,MAGIC_2025,Le Grand-Bornand,base_pass_entry,2025/2026,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_7446a0272a62,MAGIC_2025,Linden,base_pass_entry,2025/2026,linden_skilift_linden,Linden Skilift Linden,SKI_CLUSTER_109,reviewed_alias,candidate_match_scope_pending,medium,614,Linden,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_ae1ff4f37382,MAGIC_2025,Massif des Brasses,base_pass_entry,2025/2026,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_9e5621c85ebb,MAGIC_2025,Meiringen-Hasliberg,base_pass_entry,2025/2026,meiringen_hasliberg,Meiringen - Hasliberg,SKI_CLUSTER_024,unique_normalised_label,candidate_match_scope_pending,medium,783,Hasliberg,Hasliberg,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_aab2e6eca2bc,MAGIC_2025,Melchsee-Frutt,base_pass_entry,2025/2026,melchsee_frutt,Melchsee - Frutt,SKI_CLUSTER_024,unique_normalised_label,candidate_match_scope_pending,medium,1404,Kerns,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_5f9d50eab0bc,MAGIC_2025,Mörlialp,base_pass_entry,2025/2026,morlialp,Mörlialp,SKI_CLUSTER_075,unique_normalised_label,candidate_match_scope_pending,medium,1403,Giswil,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_f6dd2c0d304d,MAGIC_2025,Praz de Lys-Sommand,base_pass_entry,2025/2026,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_3c8c3f498873,MAGIC_2025,Sörenberg,base_pass_entry,2025/2026,sorenberg,Sörenberg,SKI_CLUSTER_031,unique_normalised_label,candidate_match_scope_pending,medium,1004,Flühli,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
